User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000004,P00128942,M,46-50,7,B,2,1,1,11.0,,13894
1000009,P00113442,M,26-35,17,C,0,0,3,5.0,,11061
1000010,P00288442,F,36-45,1,B,4+,1,5,14.0,,6176
1000010,P00145342,F,36-45,1,B,4+,1,4,9.0,,1858
1000011,P00053842,F,26-35,1,C,1,0,4,5.0,12.0,2966
1000013,P00350442,M,46-50,1,C,3,1,2,3.0,15.0,12348
1000013,P00155442,M,46-50,1,C,3,1,1,11.0,15.0,13930
1000013,P0094542,M,46-50,1,C,3,1,2,4.0,9.0,11284
1000015,P00161842,M,26-35,7,A,1,0,10,13.0,16.0,18550
1000022,P00067942,M,18-25,15,A,4+,0,5,14.0,,5955
1000026,P00046742,M,26-35,7,B,2,1,1,2.0,15.0,12933
1000026,P00040042,M,26-35,7,B,2,1,5,,,5965
1000026,P00196542,M,26-35,7,B,2,1,5,8.0,14.0,6336
1000026,P00004542,M,26-35,7,B,2,1,5,8.0,,6377
1000028,P00159542,F,26-35,1,C,2,1,10,15.0,16.0,18528
1000029,P00111542,M,36-45,7,C,1,0,2,17.0,,14366
1000033,P00121042,M,46-50,3,A,1,1,15,,,15165
1000033,P00344442,M,46-50,3,A,1,1,5,8.0,14.0,6301
1000034,P00265242,F,18-25,0,A,0,0,5,8.0,,6228
1000035,P0096642,M,46-50,1,C,4+,1,2,3.0,4.0,10513
1000036,P00303042,M,26-35,3,B,0,0,5,,,6007
1000036,P00059642,M,26-35,3,B,0,0,1,2.0,3.0,13601
1000042,P00030842,M,26-35,8,C,0,1,1,2.0,15.0,13288
1000045,P00346442,F,46-50,16,A,1,1,1,2.0,14.0,14230
1000045,P00357242,F,46-50,16,A,1,1,5,,,5985
1000045,P00284742,F,46-50,16,A,1,1,5,12.0,,6226
1000048,P00110842,M,26-35,4,B,3,1,1,2.0,5.0,13800
1000048,P00251642,M,26-35,4,B,3,1,1,2.0,4.0,8194
1000053,P00136742,M,26-35,0,B,1,0,1,14.0,16.0,12911
1000053,P0097342,M,26-35,0,B,1,0,1,15.0,16.0,14360
1000053,P00168242,M,26-35,0,B,1,0,5,16.0,,5852
1000053,P00354342,M,26-35,0,B,1,0,5,11.0,,5828
1000053,P00105042,M,26-35,0,B,1,0,5,9.0,,6135
1000059,P00177442,F,51-55,1,B,4+,1,1,6.0,8.0,15846
1000062,P00119242,F,36-45,3,A,1,0,18,,,2775
1000063,P00260242,M,18-25,4,C,2,0,5,16.0,,6171
1000063,P00113642,M,18-25,4,C,2,0,8,,,7727
1000065,P00000142,M,36-45,12,C,2,1,3,4.0,5.0,10652
1000068,P00216342,M,18-25,4,A,0,0,3,4.0,5.0,10035
1000069,P00157542,F,26-35,1,A,1,0,8,14.0,,6973
1000073,P00112642,M,18-25,4,A,4+,0,1,2.0,5.0,13658
1000078,P0095842,F,46-50,1,C,0,1,3,4.0,12.0,10304
1000080,P00112142,M,55+,1,C,3,1,1,2.0,14.0,14839
1000081,P00109142,F,26-35,0,A,1,1,8,17.0,,7800
1000081,P00120342,F,26-35,0,A,1,1,5,17.0,,6308
1000082,P00014542,M,26-35,17,C,2,1,8,,,7752
1000090,P00117542,M,55+,13,C,1,0,18,,,3480
1000092,P00220442,F,18-25,4,B,1,0,5,14.0,,6091
1000092,P00171542,F,18-25,4,B,1,0,2,5.0,14.0,9533
1000094,P00178242,M,26-35,17,C,1,0,8,,,7809
1000096,P00293342,F,26-35,16,C,2,1,8,,,7781
1000097,P00117842,F,36-45,3,C,3,0,5,13.0,16.0,7590
1000098,P00327542,F,36-45,7,C,2,1,5,,,6430
1000100,P00110842,M,36-45,17,C,4+,0,1,2.0,5.0,14333
1000100,P00193542,M,36-45,17,C,4+,0,1,2.0,,14641
1000100,P00243942,M,36-45,17,C,4+,0,1,2.0,15.0,13469
1000103,P00148542,M,46-50,7,B,2,1,1,16.0,17.0,11927
1000107,P00089042,M,46-50,18,C,4+,0,13,,,1170
1000116,P00267542,M,26-35,17,C,2,1,1,16.0,,14002
1000117,P00147742,M,26-35,17,A,2,1,1,16.0,,13482
1000117,P00223542,M,26-35,17,A,2,1,1,8.0,17.0,15363
1000117,P00185442,M,26-35,17,A,2,1,15,,,15067
1000120,P00110542,M,26-35,11,C,0,0,8,,,7790
1000123,P00014042,M,36-45,9,B,4+,1,1,,,13042
1000123,P00177442,M,36-45,9,B,4+,1,1,6.0,8.0,15698
1000123,P00295342,M,36-45,9,B,4+,1,2,8.0,,11112
1000123,P00266542,M,36-45,9,B,4+,1,2,16.0,,12532
1000129,P00089242,M,26-35,11,C,2,0,2,5.0,,10668
1000130,P00312742,M,36-45,17,B,3,1,15,,,15292
1000130,P00286742,M,36-45,17,B,3,1,1,16.0,,13707
